(2022-10-13 02:26:36,813) ERROR: scraped_info, 02285: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,816) ERROR: scraped_info, 02287: Timeout when loading URL
(2022-10-13 02:26:36,816) ERROR: scraped_info, 02287: Error when splitting page_source
(2022-10-13 02:26:36,818) ERROR: scraped_info, 02287: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,821) ERROR: scraped_info, 02289: Timeout when loading URL
(2022-10-13 02:26:36,821) ERROR: scraped_info, 02289: Error when splitting page_source
(2022-10-13 02:26:36,823) ERROR: scraped_info, 02289: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,825) ERROR: scraped_info, 02291: Timeout when loading URL
(2022-10-13 02:26:36,826) ERROR: scraped_info, 02291: Error when splitting page_source
(2022-10-13 02:26:36,827) ERROR: scraped_info, 02291: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,829) ERROR: scraped_info, 02312: Timeout when loading URL
(2022-10-13 02:26:36,830) ERROR: scraped_info, 02312: Error when splitting page_source
(2022-10-13 02:26:36,832) ERROR: scraped_info, 02312: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,834) ERROR: scraped_info, 02314: Timeout when loading URL
(2022-10-13 02:26:36,835) ERROR: scraped_info, 02314: Error when splitting page_source
(2022-10-13 02:26:36,836) ERROR: scraped_info, 02314: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,838) ERROR: scraped_info, 02318: Timeout when loading URL
(2022-10-13 02:26:36,839) ERROR: scraped_info, 02318: Error when splitting page_source
(2022-10-13 02:26:36,840) ERROR: scraped_info, 02318: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,843) ERROR: scraped_info, 02320: Timeout when loading URL
(2022-10-13 02:26:36,843) ERROR: scraped_info, 02320: Error when splitting page_source
(2022-10-13 02:26:36,845) ERROR: scraped_info, 02320: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,847) ERROR: scraped_info, 02321: Timeout when loading URL
(2022-10-13 02:26:36,848) ERROR: scraped_info, 02321: Error when splitting page_source
(2022-10-13 02:26:36,849) ERROR: scraped_info, 02321: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,851) ERROR: scraped_info, 02322: Timeout when loading URL
(2022-10-13 02:26:36,852) ERROR: scraped_info, 02322: Error when splitting page_source
(2022-10-13 02:26:36,854) ERROR: scraped_info, 02322: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,856) ERROR: scraped_info, 02323: Timeout when loading URL
(2022-10-13 02:26:36,856) ERROR: scraped_info, 02323: Error when splitting page_source
(2022-10-13 02:26:36,858) ERROR: scraped_info, 02323: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,861) ERROR: scraped_info, 02324: Timeout when loading URL
(2022-10-13 02:26:36,861) ERROR: scraped_info, 02324: Error when splitting page_source
(2022-10-13 02:26:36,863) ERROR: scraped_info, 02324: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,865) ERROR: scraped_info, 02326: Timeout when loading URL
(2022-10-13 02:26:36,866) ERROR: scraped_info, 02326: Error when splitting page_source
(2022-10-13 02:26:36,868) ERROR: scraped_info, 02326: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,870) ERROR: scraped_info, 02327: Timeout when loading URL
(2022-10-13 02:26:36,871) ERROR: scraped_info, 02327: Error when splitting page_source
